game_id,patch,league,team1,team2,winner,team1_picks,team2_picks,team1_bans,team2_bans
LOLTMNT02_255624,15.09,LCKC,Blue,Red,Blue,"['Taliyah', 'Pantheon', 'Aatrox', 'Xayah', 'Rakan']","['Azir', 'Xin Zhao', ""K'Sante"", 'Alistar', 'Ezreal']","['Varus', 'Ambessa', 'Jayce', 'Poppy', 'Miss Fortune']","['Vi', 'Rumble', 'Gwen', 'Nautilus', 'Elise']"
LOLTMNT02_256621,15.09,LCKC,Blue,Red,Red,"['Rumble', 'Viego', 'Ryze', 'Miss Fortune', 'Rell']","['Wukong', 'Gwen', 'Ahri', 'Nautilus', 'Lucian']","['Poppy', 'Naafiri', 'Viktor', ""Kai'Sa"", 'Neeko']","['Vi', 'Orianna', 'Varus', 'Jhin', 'Ashe']"
12034-12034_game_1,15.09,LPL,Blue,Red,Blue,"['Neeko', 'Pantheon', 'Ambessa', ""Kai'Sa"", 'Sylas']","['Rumble', 'Xin Zhao', 'Azir', 'Ashe', 'Seraphine']","['Varus', 'Yone', 'Galio', 'Karma', 'Lucian']","['Taliyah', 'Vi', 'Miss Fortune', 'Ahri', 'Kalista']"
12034-12034_game_2,15.09,LPL,Blue,Red,Red,"['Varus', ""Cho'Gath"", 'Viego', 'Ahri', 'Poppy']","['Yorick', 'Lillia', 'Jhin', 'Rell', 'Yone']","['Taliyah', 'Jayce', 'Miss Fortune', 'Leona', 'Alistar']","['Vi', 'Gwen', 'Naafiri', 'Nautilus', 'Braum']"
LOLTMNT05_131176,15.09,LEC,Blue,Red,Blue,"['Yone', 'Vi', ""Kai'Sa"", 'Nautilus', 'Gragas']","['Azir', 'Miss Fortune', 'Poppy', 'Sejuani', 'Ambessa']","['Varus', 'Pantheon', 'Aurora', 'Jayce', 'Rell']","['Taliyah', 'Rumble', 'Maokai', 'Neeko', 'Gwen']"
LOLTMNT05_131180,15.09,LEC,Blue,Red,Red,"['Maokai', 'Rell', 'Gnar', 'Zeri', 'Mel']","['Dr. Mundo', 'Ezreal', 'Gwen', 'Viktor', 'Alistar']","['Jayce', 'Rumble', 'Pantheon', 'Aurelion Sol', 'Neeko']","['Varus', 'Taliyah', 'Xin Zhao', 'Corki', 'Draven']"
LOLTMNT05_131182,15.09,LEC,Blue,Red,Blue,"['Taliyah', 'Xin Zhao', 'Rumble', 'Xayah', 'Rakan']","['Pantheon', 'Ryze', 'Ezreal', 'Aatrox', 'Annie']","['Sejuani', 'Jayce', 'Poppy', 'Rell', 'Gwen']","['Varus', 'Vi', 'Yone', ""Kai'Sa"", 'Kalista']"
LOLTMNT02_256800,15.09,LRS,Blue,Red,Red,"['Varus', 'Xin Zhao', 'Ahri', 'Yorick', 'Rakan']","['Rumble', 'Jhin', 'Neeko', 'Aurora', 'Nocturne']","['Naafiri', 'Vi', 'Kalista', 'Irelia', 'Yone']","['Pantheon', 'Sejuani', 'Jayce', 'Karma', 'Gwen']"
LOLTMNT05_130177,15.09,LEC,Blue,Red,Red,"['Naafiri', 'Sylas', 'Corki', 'Gwen', 'Gragas']","['Poppy', 'Viktor', 'Rell', 'Zeri', 'Kennen']","['Yone', 'Varus', 'Sejuani', 'Ambessa', 'Nidalee']","['Jayce', 'Vi', 'Azir', 'Neeko', 'Alistar']"
LOLTMNT02_255849,15.09,LRS,Blue,Red,Blue,"['Jayce', 'Ezreal', 'Braum', 'Lillia', 'Yone']","['Ambessa', 'Ashe', 'Skarner', 'Renata Glasc', 'Akali']","['Pantheon', 'Sejuani', 'Naafiri', 'Karma', 'Seraphine']","['Ivern', 'Corki', 'Vi', nan, nan]"
LOLTMNT02_256870,15.09,LRS,Blue,Red,Red,"['Gwen', 'Skarner', 'Aurora', 'Jhin', 'Rell']","['Jax', 'Taliyah', 'Naafiri', 'Braum', 'Corki']","['Xin Zhao', 'Jayce', 'Pantheon', 'Lucian', 'Neeko']","['Vi', 'Sejuani', 'Varus', 'Ezreal', 'Rakan']"
LOLTMNT02_256906,15.09,LRS,Blue,Red,Blue,"['Azir', 'Pantheon', 'Rakan', 'Xayah', 'Ambessa']","['Orianna', 'Xin Zhao', 'Neeko', 'Jayce', ""Kai'Sa""]","['Karma', 'Tristana', 'Ahri', 'Caitlyn', 'Ezreal']","['Vi', 'Sejuani', 'Varus', 'Sion', 'Rumble']"
LOLTMNT02_255931,15.09,CD,Blue,Red,Blue,"['Yorick', 'Xin Zhao', 'Ahri', 'Zeri', 'Lulu']","[""Cho'Gath"", 'Pantheon', 'Taliyah', 'Lucian', 'Nami']","['Skarner', 'Viktor', 'Neeko', 'Alistar', 'Rakan']","['Jayce', 'Gwen', 'Varus', 'Nautilus', 'Ashe']"
LOLTMNT02_256927,15.09,CD,Blue,Red,Red,"['Gwen', 'Skarner', 'Azir', 'Kalista', 'Nautilus']","['Miss Fortune', 'Ryze', 'Yone', 'Ivern', 'Rell']","['Jayce', 'Varus', 'Sejuani', 'Nidalee', 'Maokai']","['Neeko', 'Vi', 'Viktor', 'Ashe', 'Jhin']"
LOLTMNT02_256925,15.09,LRS,Blue,Red,Red,"['Rumble', 'Lillia', 'Varus', 'Hwei', 'Nautilus']","['Leona', 'Wukong', 'Galio', 'Ashe', 'Akali']","['Ryze', 'Sejuani', 'Tristana', 'Miss Fortune', 'Kalista']","['Vi', 'Ezreal', 'Ahri', 'Smolder', 'Yone']"
LOLTMNT02_255951,15.09,CD,Blue,Red,Red,"['Rumble', 'Jhin', 'Neeko', 'Pantheon', 'Taliyah']","['Varus', 'Xin Zhao', 'Galio', 'Rakan', 'Zed']","['Naafiri', 'Gwen', 'Jayce', 'Nautilus', 'Karma']","['Sejuani', 'Azir', 'Vi', 'Yone', 'Corki']"
